词语	强度
丑事	-5
承教	5
崇信	7
出蓝	5
创举	5
憷头	-3
春山	3
纯稚	5
吹擂	-5
蠢话	-5
刺儿话	-3
窜犯	-5
篡位	-7
错会	-3
呆子	-3
刀俎	-5
盗匪	-5
盗用	-5
桂冠	7
国光	5
国威	1
酣眠	3
敌特	-5
颠沛	-3
丢份	-3
毒贩	-5
赌棍	-5
恶疾	-5
恶性	-5
贰臣	-3
法盲	-5
反侧	-3
饭桶	-7
放刁	-5
非人	-9
匪祸	-5
分赃	-5
奉迎	-3
浮夸	-3
负隅	-3
官僚	-5
惯贼	-5
淳古	5
慈怜	5
葱郁	3
翠蓝	1
打躬	3
大观	5
大士	5
大雅	5
鬼子	-7
得中	3
砥柱	7
国耻	-9
过头	-3
黑金	-3
后门	-1
幻灭	-5
谎话	-3
毁约	-1
秽行	-5
混账	-5
挤占	-3
假手	-3
进犯	-3
拘牵	-1
懒怠	-7
空论	-3
懂行	5
洞究	1
宽纵	-1
独步	5
笃学	5
端平	5
墩劝	3
发奋	5
繁盛	5
芳烈	5
放达	1
飞灵	3
肥壮	3
丰饶	5
富源	1
改过	3
刚性	3
高档	5
高朗	3
捞摸	-5
勒抑	-5
冷遇	-3
敛财	-5
凌夷	-3
流气	-5
高爽	5
露丑	-5
乱民	-3
沦丧	-5
落套	-1
埋汰	-3
毛子	-3
没样儿	-1
媚外	-5
密谋	-5
冥顽	-5
更生	3
工稳	5
攻书	3
公认	7
磨烦	-3
观止	9
光溜	5
呶呶	-3
闹架	-3
闹灾	-5
啮噬	-7
奴化	-5
殴打	-7
攀诬	-5
旁骛	-3
好评	7
皮囊	-3
偏差	-3
剽取	-5
歧途	-5
起哄	-5
前愆	-3
枪替	-5
抢劫	-5
贺匾	5
贺喜	9
红星	5
洪钟	3
宏论	7
护佑	3
华彩	5
欢歌	5
欢宴	5
挥毫	5
回归	1
活溜	1
积德	5
吉期	7
窃夺	-5
侵袭	-5
倾轧	-5
求全	-1
取闹	-5
缺点	-9
饶舌	-3
认头	-3
辱命	-3
杀机	-5
蛇头	-5
生事	-3
失范	-3
失算	-5
手黑	-7
受制	-5
衰颓	-5
搜刮	-5
损伤	-5
贪贿	-5
逃兵	-5
体罚	-5
偷盗	-7
透顶	-7
蜕化	-3
歪理	-5
顽梗	-5
妄人	-5
威胁	-5
违纪	-5
窝主	-7
芜杂	-5
嬉皮士	-3
瞎扯	-5
嫌忌	-5
险阻	-5
萧索	-5
邪魔	-5
泄密	-5
凶犯	-5
凶杀	-5
熊包	-5
虚话	-5
虚妄	-5
眩惑	-5
压制	-7
掩饰	-5
妖风	-5
窑子	-5
一窝蜂	-3
疑忌	-5
异端	-5
阴湿	-3
淫画	-5
引诱	-5
庸才	-5
诱胁	-5
迂气	-5
愚民	-5
郁然	-5
冤孽	-5
怨仇	-5
怨懑	-5
钦慕	5
勤勤	5
清官	5
杂念	-3
灾祸	-5
佳境	7
精卫填海	5
美好	9
至交	7
偏袒	-5
见长	7
价廉质优	7
一尘不染	5
榜样	5
拨弄	-5
光棍	-7
精悍	7
不足挂齿	-3
懒散	-5
英武	7
虚伪	-9
融融	5
遗臭万年	-9
坏事	-7
得过且过	-5
宽容	7
自得其乐	7
赘疣	-9
高贵	7
英豪	7
摆布	-7
丝丝入扣	5
体贴入微	5
告捷	7
打掩护	-3
尸位素餐	-7
操持	5
漠不关心	-3
栩栩如生	7
有头无尾	-7
妖媚	-5
碌碌	-7
不周	-3
仰望	7
鼠辈	-9
幼稚	-7
传家宝	7
杞人忧天	-3
功德	9
天香国色	9
平庸	-3
无所事事	-7
高明	7
驴唇不对马嘴	-7
私自	-3
喜欢	5
百孔千疮	-5
疏忽	-3
老调	-3
放火	-5
丰盈	5
蠢动	-9
笃实	5
功勋	9
天翻地覆	-7
烦扰	-9
敞亮	5
祸胎	-9
心虚	-1
模范	5
实在	5
高人	5
马大哈	-3
光洁	3
花魁	7
虚度	-5
幌子	-5
水到渠成	7
丢脸	-5
鞭辟入里	5
畜生	-9
赤裸裸	-3
有口皆碑	9
有血有肉	5
迎刃而解	5
狂暴	-7
说嘴	-5
玲珑	5
侈谈	-5
纷乱	-5
浓郁	5
天衣无缝	9
拐子	-5
好听	5
软弱	-5
对眼	5
莫须有	-7
沉痼	-5
拘泥	-3
空想	-7
见不得人	-9
精雕细刻	5
响当当	5
半半拉拉	-5
岔子	-5
抬杠	-5
先人后己	5
抽风	-5
惨绝人寰	-5
恢弘	9
好人	7
瞎说	-7
急转直下	-5
融融	3
阎罗	5
便民	5
亮堂	3
甜美	5
天翻地覆	5
荒废	-5
凌虐	-5
痛快淋漓	7
动人	3
背时	-5
洋洋	5
栽赃	-7
脏污	-5
噪聒	-5
责罚	-5
贼赃	-7
肢解	-5
滞销	-5
清越	5
轻俏	5
晴好	5
庆贺	5
全胜	5
热火	5
任侠	5
柔润	5
睿智	5
善行	5
神力	5
省心	3
盛况	5
盛赞	7
诗意	5
爽健	5
肃然	5
周折	-5
装糊涂	-5
捉弄	-5
滋事	-5
走内线	-5
嘴长	-5
罪孽	-9
作死	-9
坐误	-7
腾欢	5
贴心	5
同乐	5
婉丽	5
温婉	3
稳静	3
沃饶	5
无双	9
细嫩	5
先哲	5
纤巧	5
相成	5
骁健	5
心秀	5
兴隆	5
寄怀	5
雄踞	5
雄图	5
秀润	5
煊赫	5
勋劳	5
雅怀	5
嫣红	5
延誉	5
扬名	5
毅勇	5
英风	5
英秀	5
莹莹	3
勇决	7
优礼	5
幽韵	5
有素	5
圆浑	5
佳肴	7
兼顾	1
坚挺	5
简质	5
举荐	7
见地	7
见效	5
江山	3
奖赏	3
姣妍	5
姣美	5
佼佼	9
教益	5
解渴	3
巾帼	7
金汤	7
匀实	5
赞服	9
